Sender BU ID,Sender BU Description,Sender BU Region,Sender BU Approver Contact Email,Sender BU Onsite Contact Email,Sender BU's SKU Current DOI,Sender BU's SKU Target DOI,Sender Average Weekly Use,Sender BU On Hand Quantity,Sender BU in Transit Quantity,Sender BU Approves transfer? (YES/NO),Item ID,Item Description,Supplier Name,Source Lot ID,Item-Lot Expiry Date,Item Quantity to transfer,STD UOM,$ Value of Transfer,Transfer Recommendation Reason,PeopleSoft Transfer ID,Receiver BU ID,Receiver BU Description,Receiver BU Region,Receiver BU Approver Contact Email,Receiver BU Onsite Contact Email,Receiver BU's SKU Current DOI,Receiver BU's SKU Target DOI,Receiver Average Weekly Use,Receiver BU On Hand Quantity,Receiver BU in Transit Quantity,Receiver BU Approves transfer? (YES/NO),Chart of Accounts,Receiver BU Address,Sender Lot Items to Expire
33000,Nichols Institute Valencia,Esoteric,,,25.99,24,417.48,1550,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,118.0,PK,283.318,Surplus at SoBU (non-lot),,10000,Quest Diagnostics-Nichols Inst,Esoteric,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,DGXSJCMATERIALSMANAGEMENTCOMMUNICTAIONS@QUESTDIAGNOSTICS.COM,16.42,24,896.63,2103,0,-,10000-EZ,"33608 Ortega Hwy, San Juan Capistrano, 92675-2042, CA",0.0
36000,MedFusion,Esoteric,,,39.4,24,93.8,528,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,80.0,PK,192.07999999999998,Surplus at SoBU (non-lot),,39500,Quest Diagnostics-S. Fla Miami,Southeast,Maria.R.Garzon@questdiagnostics.com,Maria.R.Garzon@questdiagnostics.com,15.42,19,158.9,350,0,-,39500-MI,"10200 Commerce Pkwy, Miami, 33025, FL",0.0
36000,MedFusion,Esoteric,,,39.4,24,93.8,528,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,76.0,PK,182.476,Surplus at SoBU (non-lot),,61500,Quest Diagnostics-Tampa,Southeast,Quentia.D.Jones@questdiagnostics.com,Quentia.D.Jones@questdiagnostics.com,15.24,19,142.38,310,0,-,61500-TP,"4225 E Fowler Ave, Tampa, 33617-2026, FL",0.0
36000,MedFusion,Esoteric,,,39.4,24,93.8,528,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,50.0,PK,120.04999999999998,Surplus at SoBU (non-lot),,95000,Kilpatrick Path (Derm Ohio),Ameripath,,,19.26,35,24.709999999999997,68,0,-,95000-PXV,"745 Orienta Ave
Suite 1201, Altamonte Springs, 32701-5619, FL",0.0
36200,Mid America Clinical Labs,Great MidWest,Brent Fraker,Brent Fraker,35.88,22,65.94,338,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,130.0,PK,312.13,Surplus at SoBU (non-lot),,67500,Quest Diagnostics - Las Vegas,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,7.44,19,131.67,140,0,-,67500-QAW,"4230 Burnham Ave, Las Vegas, 89119-5408, NV",0.0
43500,Quest Diagnostics Pittsburgh,North,Jordan.B.Damko-Grinnell@questdiagnostics.com,Jordan.B.Damko-Grinnell@questdiagnostics.com,24.18,19,238.21,823,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,176.0,PK,422.57599999999996,Surplus at SoBU (non-lot),,67100,Quest Diagnostics - Chantilly,Esoteric,ChantillyMaterialsManagement@questdiagnostics.com,ChantillyMaterialsManagement@questdiagnostics.com,9.41,24,459.69,618,0,-,67100-AMD,"14225 Newbrook Dr, Chantilly, 20151-2228 , VA",0.0
48500,Quest Diagnostics Denver,Great MidWest,,,119.34,22,14.84,253,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,206.0,PK,494.60599999999994,Surplus at SoBU (non-lot),,67100,Quest Diagnostics - Chantilly,Esoteric,ChantillyMaterialsManagement@questdiagnostics.com,ChantillyMaterialsManagement@questdiagnostics.com,9.41,24,459.69,618,0,-,67100-AMD,"14225 Newbrook Dr, Chantilly, 20151-2228 , VA",0.0
51570,Quest Diag-Dallas-ABQ,Southwest,Jeannie.E.Disisto@questdiagnostics.com,Jeannie.E.Disisto@questdiagnostics.com,40.88,22,12.67,74,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,34.0,PK,81.63399999999999,Surplus at SoBU (non-lot),,30000,Quest Diagnostics - Atlanta,Southeast,,,14.22,19,212.1,431,0,-,30000-AT,"1777 Montreal Cir, Tucker, 30084, GA",0.0
68200,Quest Diagnostics - Sacramento,West,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,Kellie.K.Horton@questdiagnostics.com; Claudia.M.DeVere@questdiagnostics.com,29.19,19,92.33,385,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,134.0,PK,321.734,Surplus at SoBU (non-lot),,62500,Quest Diagnostics-Teterboro,East,Johnny.X.Ramirez@questdiagnostics.com,Johnny.X.Ramirez@questdiagnostics.com,16.2,19,682.71,1580,0,-,62500-QTE,"1 Malcolm Avenue, Teterboro, 7608, NJ",0.0
69000,Quest Diag.- LabOne LLC-Lenexa,Great MidWest,vincent.s.hoefler@questdiagnostics.com,vincent.s.hoefler@questdiagnostics.com,22.97,19,438.90000000000003,1440,0,-,2220,"PAPER, COPY, BOND, 8.5X11, 10",STAPLES INC,NONLOT,2100-01-01,161.0,PK,386.561,Surplus at SoBU (non-lot),,46500,Quest Diagnostics-Marlborough,North,Leslie.X.Haradji@questdiagnostics.com,Leslie.X.Haradji@questdiagnostics.com,13.55,19,347.62,673,0,-,46500-NL2,"200 Forest Street
Floor 3, Marlborough, 1752, MA",0.0
